,Evaluation Cost,Evaluation Accuracy,Train Cost,Train Accuracy
0,3.275788572355122,1090,3.2720360768097514,329
1,3.273899385548495,1090,3.2704116338846925,329
2,3.2738890043630295,1323,3.2695592442958277,438
3,3.27230178458453,983,3.268167459487807,325
4,3.269994948924784,2022,3.2653472084614927,666
5,3.2674030621654615,1090,3.263615508605544,329
6,3.263178843591966,983,3.258716336777785,325
7,3.25632642517416,1717,3.2522215165391404,567
8,3.2415902850778306,2382,3.2369567968820787,747
9,3.2050704882070065,2310,3.199621641120072,771
10,3.111984755539691,2623,3.105742029312604,821
11,2.998454348207445,2855,2.9917273295913396,885
12,2.8668248713668376,3245,2.8601470044292956,1003
13,2.794995637606004,3398,2.787691482371315,1055
14,2.730719794519053,3799,2.721797745139067,1134
15,2.638688179960815,4528,2.625985775788577,1363
16,2.5108543228911024,4655,2.493816122486306,1389
17,2.3954045066631977,5090,2.3717611287738913,1560
18,2.294649259955786,5497,2.2657356378299682,1705
19,2.202302842815811,5852,2.164634217310721,1820
20,2.125912310999512,6015,2.0824861343906846,1867
21,2.0372850715363473,6219,1.9842758524865227,1932
22,1.946762500562782,6443,1.890210858632504,1994
23,1.830529737931262,6642,1.7690655148500876,2062
24,1.7600871704427545,6828,1.6919037829960764,2109
25,1.6977213938355873,6995,1.623659380247581,2177
26,1.663205377803139,7027,1.5812740725311647,2203
27,1.597216217934321,7180,1.5131285796494816,2261
28,1.5536281037644428,7338,1.4586602921804224,2312
29,1.5145913251629617,7463,1.4121632657024488,2354
30,1.4745320109653386,7596,1.3601762864168152,2394
31,1.4427227065620944,7698,1.3180182747415252,2424
32,1.4263828451153817,7728,1.2953391182080938,2436
33,1.4203295585372784,7683,1.2847534549878095,2421
34,1.376254919594728,7841,1.229249341762691,2482
35,1.3532548377371614,7921,1.1963465243802376,2505
36,1.3292168974038243,8063,1.171352835931649,2530
37,1.3122346370552023,8145,1.139200792929001,2584
38,1.3096060183839668,8140,1.1331255120168382,2574
39,1.2735536231647542,8318,1.0833142234713482,2625
40,1.2548750670546887,8387,1.0530863269721278,2662
41,2.8423104067901845,4738,2.83297033963887,1420
42,1.2304825340072991,8486,1.015800533454302,2699
43,1.2098684515565163,8537,0.9867242385175832,2716
44,1.1981561437553965,8568,0.9658264347387758,2735
45,1.1998353861199615,8551,0.9589366303954566,2743
46,1.1708800905625076,8664,0.9132948757409424,2771
47,1.1586073401124841,8685,0.8963529553844232,2786
48,1.1467933061253044,8715,0.8719242235196781,2813
49,1.1378311454158423,8728,0.8547807944305343,2817
50,1.1338483605836118,8744,0.843018287361013,2831
51,1.1201396990199552,8779,0.8229772435735183,2836
52,1.1111436149049116,8807,0.8035144038177693,2853
53,1.109945141871975,8801,0.79599486471162,2855
54,1.1073941466471353,8811,0.7858787977379559,2864
55,1.1233831349433057,8791,0.7912735067991736,2847
56,1.0980164897579177,8847,0.7632081603586507,2876
57,1.1933822472829583,8647,0.8536425670730126,2809
58,1.0862713040345562,8874,0.7414301866769267,2882
59,1.0863091260969266,8879,0.7325510135447466,2892
60,1.0844324099622176,8883,0.7220486822996208,2895
61,1.0824694301122777,8902,0.7109500592151217,2902
62,1.0824432587593282,8902,0.7020208801706849,2907
63,1.0839102528243412,8918,0.6935715302303609,2915
64,1.0821822291005139,8913,0.6847279837307737,2917
65,1.0855735274519205,8931,0.6774363927076015,2922
66,1.0868007423481887,8929,0.6736651180635032,2922
67,1.0870873675606914,8931,0.6699029739466871,2923
68,1.094751305280766,8936,0.6690321571330549,2925
69,1.0922374435647817,8941,0.6624095860270571,2928
70,1.1011515487888788,8947,0.6604342615022264,2928
71,1.0990489781054278,8944,0.6547586289764498,2933
72,1.099680296392441,8961,0.6521805279103193,2936
73,1.1042291643493503,8953,0.648691078351645,2936
74,1.1052041466554499,8962,0.6446913584473257,2938
75,1.108211960881634,8960,0.6427915553531744,2942
76,1.1137418229392686,8968,0.6398290956201852,2943
77,1.1178933070964283,8954,0.6449757004948691,2943
78,1.1195498517094067,8960,0.6387048595870434,2945
79,1.1214565562648109,8965,0.636956603105407,2947
80,1.1255144258218368,8965,0.635066540155472,2947
81,1.128516919162981,8978,0.6348062364501608,2946
82,1.1293195716872957,8979,0.6325682916436209,2949
83,1.1330850712847145,8987,0.6309337731335669,2949
84,1.13854755969262,8975,0.6304799012627185,2951
85,1.1408500900818517,8989,0.629796472825702,2951
86,1.1436590790226555,8990,0.629396644381087,2951
87,1.1495048466157713,8981,0.6307258271321277,2953
88,1.152801269075246,8990,0.6295861694302235,2953
89,1.1555637252461701,8987,0.6285083037551108,2959
90,1.1585792586863914,8992,0.6279102202185576,2959
91,1.1608482277407488,8992,0.6273356426757375,2959
92,1.1637283547783428,8997,0.6268564881277812,2960
93,1.1705135531536819,8992,0.6271800333302046,2960
94,1.172109683927809,8987,0.6273829122961903,2961
95,1.1759579926028805,8991,0.6274956880655793,2961
96,1.1817951953836696,8983,0.628995364047782,2960
97,1.1842342471294536,8986,0.6289697579467256,2960
98,1.188992056568337,8984,0.6307660108142776,2962
99,1.1906461404098585,8979,0.6282265855401435,2963
